Model,Train_RMSE,Train_MAE,Train_R2,Val_RMSE,Val_MAE,Val_R2,Test_RMSE,Test_MAE,Test_R2
XGBoost,1.256644389559475,0.7527650466973926,0.0,2.419388064178288,2.0448138645921805,-0.00030689882096979204,3.793608614219826,3.0014978330705966,-0.24553208209172106
LightGBM,1.2566443964673977,0.7527650390765718,1.1102230246251565e-16,2.4193880678018655,2.044813917187954,-0.0003068986684686692,3.793608283186653,3.0014975828715986,-0.24553207733981885
Random Forest,1.2247645863485082,0.7268956130016374,0.06378565743784848,2.4579033376503023,2.0817968223587937,-0.03003750695259,3.611525946944604,2.903701542385489,-0.1686382240713935
Ensemble,1.2444250482719557,0.7390977169519358,0.024489792298779456,2.430117549216602,2.0558343080936785,-0.008388522581426194,3.72888658761504,2.9677785419815845,-0.21629371126950558
Ridge,1.2391490488346717,0.7411871071279339,0.05445545781341654,2.5773684415795275,2.1887435848901395,-0.1320412032488163,3.7099516548285383,2.9754126575918614,-0.19173910330026644
Naive Baseline,1.2574775895309285,0.7625142014601654,-0.00808351937977192,2.4326439983074937,2.009152239029901,-0.017846190547190055,4.042352209005081,3.178787871828849,-0.38860248093689576
